response_id,panelist_id,survey_status,progress_pct,start_time_bst,end_time_bst,duration_sec,device_type,browser_family,traffic_source,ip_hash,browser_fingerprint,age,age_band,gender,region,urbanicity,employment_status,household_income,children_u18,s1_ordered_delivery_3m,q1_orders_past_30d,q2_last_order,q3_primary_service,q4_overall_satisfaction,q5_likelihood_reorder,q6_nps,q7_delivery_speed,q7_order_accuracy,q7_food_quality,q7_value_for_money,q7_app_ease,q7_service_selection,q7_customer_support,q7_promotions,q8_attention_check,q9_delivery_fee_reasonableness,q10_last_order_spend_gbp,q11_problem_last_order,q12_problem_type,q13_contacted_support,q14_support_resolution,q15_subscription_member,q16_open_end,page_screener_sec,page_usage_sec,page_experience_sec,page_grid_sec,page_demographics_sec,page_open_end_sec
R00001,P100001,Complete,100,2026-07-17T09:33:21+01:00,2026-07-17T09:42:35+01:00,554,Mobile,Edge,Panel B,25cd10b5a002,e5f12961da6e,41,35-44,Man,London,Urban,Not currently employed,"£75,000-£99,999",Yes,Yes,2-3,Past week,Restaurant direct,7,7,10,5,7,7,6,7,6,7,7,3,6,29.32,No,,,,Yes,More restaurant choice in my area.,48.1,61.0,81.0,124.6,73.2,58.8
R00002,P100002,Complete,100,2026-07-13T20:44:43+01:00,2026-07-13T20:52:01+01:00,438,Desktop,Edge,Panel B,25cd10b5a002,cd51411b5a97,57,55-64,Woman,Yorkshire and the Humber,Rural,Retired,"Under £20,000",No,Yes,6-9,Past week,MealDash,4,5,8,4,5,4,2,5,5,4,4,3,3,19.04,No,,,,No,Improve the accuracy of map tracking.,49.2,67.3,85.0,74.5,92.8,18
R00003,P100003,Complete,100,2026-07-14T23:20:20+01:00,2026-07-14T23:29:21+01:00,541,Desktop,Chrome,Panel B,849625ac2323,4908215b6c2c,22,18-24,Woman,London,Urban,Retired,"£100,000+",No,Yes,2-3,Past week,FoodGo,6,4,9,6,6,7,5,6,4,5,5,3,4,21.21,No,,,,No,Better tracking when the driver is close.,33.1,72.5,65.8,119.7,102.0,81.4
R00004,P100004,Complete,100,2026-07-13T13:40:20+01:00,2026-07-13T13:48:38+01:00,498,Mobile,Chrome,Panel B,849625ac2323,9c45d25fd992,25,25-34,Woman,East of England,Rural,Employed full-time,"£20,000-£34,999",Yes,Yes,4-5,Past week,MealDash,5,5,5,5,5,5,5,6,4,4,5,3,5,64.05,No,,,,No,Better tracking when the driver is close.,54.2,60.8,70.7,155.5,81.4,19.4
R00005,P100005,Complete,100,2026-07-12T14:51:59+01:00,2026-07-12T15:01:24+01:00,565,Mobile,Safari,Panel A,227a1365cbfe,6c5ce3486e7f,52,45-54,Woman,Yorkshire and the Humber,Rural,Student,"Under £20,000",No,Yes,1,Past week,QuickBite,5,6,5,6,5,5,5,6,6,5,5,3,3,22.79,No,,,,No,"Lower delivery fees, especially on smaller orders.",44.3,85.2,177.7,123.7,74.0,19.4
R00006,P100006,Complete,100,2026-07-15T05:09:33+01:00,2026-07-15T05:19:44+01:00,611,Desktop,Safari,Panel B,227a1365cbfe,22dd7b747946,60,55-64,Woman,West Midlands,Urban,Retired,"£20,000-£34,999",Yes,Yes,2-3,Past week,MealDash,4,3,5,5,3,5,3,4,6,4,4,3,3,23.57,No,,,,Yes,Improve the accuracy of map tracking.,36.3,92.7,109.9,164.0,97.2,57.6
R00007,P100007,Complete,100,2026-07-07T08:44:07+01:00,2026-07-07T08:52:49+01:00,522,Mobile,Safari,Panel A,24eaa6a3c9f0,6b1f3129eff8,56,55-64,Woman,North East,Suburban,Employed full-time,"£35,000-£49,999",Yes,Yes,0,8-30 days ago,MealDash,4,5,4,2,4,4,4,5,4,5,5,3,3,27.71,No,,,,No,Fewer missing items and clearer substitutions.,52.3,65.0,115.1,110.4,41.6,84.7
R00008,P100008,Complete,100,2026-07-07T11:43:54+01:00,2026-07-07T11:52:57+01:00,543,Tablet,Chrome,Panel A,24eaa6a3c9f0,f71e1ff3d4f2,22,18-24,Woman,Scotland,Urban,Employed full-time,"£35,000-£49,999",No,Yes,4-5,Today,MealDash,5,7,8,6,6,6,5,5,5,6,4,3,4,20.47,No,,,,No,More restaurant choice in my area.,48.9,34.1,102.3,78.5,102.1,96.3
R00009,P100009,Complete,100,2026-07-15T19:28:06+01:00,2026-07-15T19:36:45+01:00,519,Desktop,Chrome,Panel B,a158867fe4ca,7d84496412f1,33,25-34,Woman,London,Suburban,Employed full-time,"£50,000-£74,999",No,Yes,0,Past week,Other,4,4,6,4,4,4,4,5,4,4,4,3,3,16.83,No,,,,No,Let customers edit an order for a short time after placing it.,48.6,58.0,66.5,104.1,65.0,76.7
R00010,P100010,Complete,100,2026-07-09T08:48:04+01:00,2026-07-09T08:56:40+01:00,516,Mobile,Safari,Panel B,a158867fe4ca,e6971422cbf0,38,35-44,Non-binary,South West,Urban,Employed part-time,"£20,000-£34,999",No,Yes,2-3,8-30 days ago,FoodGo,5,6,7,5,5,6,5,7,7,6,6,1,5,20.11,Yes,Late delivery,Yes,6,No,Make service charges easier to understand before checkout.,37.1,53.1,125.2,120.2,39.9,84.0
