response_id,flag_partial,flag_speeder,flag_straightliner,flag_attention_fail,flag_invalid_value,flag_logic_error,flag_duplicate_like,flag_low_quality_open_text,total_flags,qc_flagged,behavioural_flag_count,recommended_exclude,recommended_review
R00001,False,False,False,False,False,False,False,False,0,False,0,False,False
R00002,False,False,False,False,False,False,False,False,0,False,0,False,False
R00003,False,False,False,False,False,False,False,False,0,False,0,False,False
R00004,False,False,False,False,False,False,False,False,0,False,0,False,False
R00005,False,False,False,False,False,False,False,False,0,False,0,False,False
R00006,False,False,False,False,False,False,False,False,0,False,0,False,False
R00007,False,False,False,False,False,False,False,False,0,False,0,False,False
R00008,False,False,False,False,False,False,False,False,0,False,0,False,False
R00009,False,False,False,False,False,True,False,False,1,True,1,False,True
R00010,False,False,False,True,False,False,False,False,1,True,1,False,True
R00011,False,False,False,False,False,False,False,False,0,False,0,False,False
R00012,False,False,False,False,False,False,False,False,0,False,0,False,False
R00013,False,False,False,False,False,False,False,False,0,False,0,False,False
R00014,False,False,False,False,False,False,False,False,0,False,0,False,False
R00015,False,False,False,False,False,False,False,False,0,False,0,False,False
R00016,False,False,False,False,False,False,False,False,0,False,0,False,False
R00017,False,False,False,False,False,False,False,False,0,False,0,False,False
R00018,False,False,False,False,False,False,False,False,0,False,0,False,False
R00019,False,False,False,False,False,False,False,False,0,False,0,False,False
R00020,False,False,False,False,False,False,False,False,0,False,0,False,False
R00021,False,False,False,False,False,False,False,False,0,False,0,False,False
R00022,False,False,False,False,False,False,False,False,0,False,0,False,False
R00023,False,False,False,False,False,False,False,False,0,False,0,False,False
R00024,False,False,False,False,False,False,False,False,0,False,0,False,False
R00025,False,False,False,False,False,False,False,False,0,False,0,False,False
R00026,False,False,False,False,False,False,False,False,0,False,0,False,False
R00027,False,False,False,False,False,False,False,False,0,False,0,False,False
R00028,False,True,False,False,False,False,False,False,1,True,1,False,True
R00029,False,False,False,False,False,False,False,False,0,False,0,False,False
R00030,False,False,True,False,False,False,False,False,1,True,1,False,True
R00031,False,False,False,False,False,False,False,False,0,False,0,False,False
R00032,False,False,False,False,False,False,False,False,0,False,0,False,False
R00033,False,False,False,False,False,False,False,False,0,False,0,False,False
R00034,False,False,False,False,False,False,False,False,0,False,0,False,False
R00035,False,False,False,False,False,False,False,False,0,False,0,False,False
R00036,False,False,False,False,False,False,False,False,0,False,0,False,False
R00037,False,False,False,False,False,False,False,False,0,False,0,False,False
R00038,False,False,False,False,False,False,False,False,0,False,0,False,False
R00039,False,False,False,False,False,False,False,False,0,False,0,False,False
R00040,False,False,False,False,False,False,False,False,0,False,0,False,False
R00041,False,False,False,False,False,False,False,False,0,False,0,False,False
R00042,False,False,False,False,False,False,False,False,0,False,0,False,False
R00043,False,False,False,True,False,False,False,False,1,True,1,False,True
R00044,False,False,False,False,False,False,False,False,0,False,0,False,False
R00045,False,False,True,False,False,False,False,True,2,True,2,True,False
R00046,False,False,False,True,False,False,False,False,1,True,1,False,True
R00047,False,False,False,False,False,False,False,False,0,False,0,False,False
R00048,False,False,False,False,False,False,False,False,0,False,0,False,False
R00049,False,False,False,False,False,False,False,False,0,False,0,False,False
R00050,False,False,False,False,False,False,False,False,0,False,0,False,False
R00051,False,False,False,False,False,False,False,False,0,False,0,False,False
R00052,False,False,False,False,False,False,True,False,1,True,0,True,False
R00053,False,False,False,False,False,False,False,False,0,False,0,False,False
R00054,False,False,False,False,False,False,False,False,0,False,0,False,False
R00055,False,False,False,False,False,False,False,False,0,False,0,False,False
R00056,False,False,False,False,False,False,False,False,0,False,0,False,False
R00057,False,False,False,False,False,False,False,False,0,False,0,False,False
R00058,False,False,False,False,False,False,False,False,0,False,0,False,False
R00059,False,False,False,False,False,False,False,False,0,False,0,False,False
R00060,False,False,False,False,False,False,False,False,0,False,0,False,False
R00061,False,False,False,False,False,False,False,False,0,False,0,False,False
R00062,False,False,False,False,False,True,False,False,1,True,1,False,True
R00063,False,False,False,False,False,False,False,False,0,False,0,False,False
R00064,False,False,False,False,False,False,False,False,0,False,0,False,False
R00065,False,False,False,False,False,False,False,False,0,False,0,False,False
R00066,False,False,False,False,False,False,False,False,0,False,0,False,False
R00067,False,False,False,False,False,False,False,False,0,False,0,False,False
R00068,False,False,False,False,False,False,False,False,0,False,0,False,False
R00069,False,False,False,False,False,False,False,False,0,False,0,False,False
R00070,False,False,False,False,False,False,False,False,0,False,0,False,False
R00071,False,True,False,False,False,False,False,False,1,True,1,False,True
R00072,False,False,False,False,False,False,False,False,0,False,0,False,False
