response_id,injected_profile,injected_issues,issue_count,expected_high_quality_complete,notes
R00001,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00002,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00003,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00004,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00005,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00006,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00007,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00008,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00009,inconsistent,logical_inconsistency,1,No,
R00010,attention_fail,attention_fail,1,No,
R00011,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00012,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00013,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00014,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00015,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00016,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00017,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00018,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00019,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00020,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00021,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00022,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00023,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00024,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00025,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00026,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00027,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00028,speeder,speeder,1,No,
R00029,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00030,straightliner,straightliner,1,No,
R00031,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00032,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00033,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00034,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00035,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00036,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00037,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00038,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00039,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00040,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00041,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00042,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00043,attention_fail,attention_fail,1,No,
R00044,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00045,multi_issue,straightliner; low_quality_open_text,2,No,
R00046,attention_fail,attention_fail,1,No,
R00047,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00048,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00049,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00050,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00051,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00052,duplicate,duplicate_like_submission,1,No,Copied substantive answers from R00409 and reused IP/fingerprint.
R00053,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00054,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00055,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00056,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00057,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00058,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00059,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00060,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00061,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00062,inconsistent,logical_inconsistency,1,No,
R00063,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00064,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00065,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00066,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00067,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00068,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00069,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00070,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00071,speeder,speeder,1,No,
R00072,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00073,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00074,inconsistent,logical_inconsistency,1,No,
R00075,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00076,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00077,multi_issue,logical_inconsistency; speeder,2,No,
R00078,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00079,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00080,straightliner,straightliner,1,No,
R00081,speeder,speeder,1,No,
R00082,duplicate,duplicate_like_submission,1,No,Copied substantive answers from R00354 and reused IP/fingerprint.
R00083,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00084,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00085,duplicate,duplicate_like_submission,1,No,Copied substantive answers from R00189 and reused IP/fingerprint.
R00086,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00087,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00088,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00089,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00090,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00091,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00092,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00093,low_quality_open,low_quality_open_text,1,No,
R00094,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00095,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00096,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00097,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00098,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00099,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00100,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00101,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00102,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00103,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00104,attention_fail,attention_fail,1,No,
R00105,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00106,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00107,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00108,attention_fail,attention_fail,1,No,
R00109,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00110,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00111,multi_issue,straightliner; speeder,2,No,
R00112,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00113,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00114,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00115,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00116,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00117,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00118,attention_fail,attention_fail,1,No,
R00119,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00120,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00121,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00122,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00123,low_quality_open,low_quality_open_text,1,No,
R00124,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00125,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00126,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00127,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00128,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00129,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00130,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00131,speeder,speeder,1,No,
R00132,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00133,inconsistent,logical_inconsistency,1,No,
R00134,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00135,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00136,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00137,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00138,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00139,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00140,speeder,speeder,1,No,
R00141,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00142,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00143,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00144,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00145,multi_issue,attention_fail; logical_inconsistency,2,No,
R00146,duplicate,duplicate_like_submission,1,No,Copied substantive answers from R00904 and reused IP/fingerprint.
R00147,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00148,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00149,multi_issue,attention_fail; logical_inconsistency,2,No,
R00150,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00151,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00152,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00153,straightliner,straightliner,1,No,
R00154,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00155,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00156,inconsistent,logical_inconsistency,1,No,
R00157,attention_fail,attention_fail,1,No,
R00158,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00159,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00160,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00161,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00162,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00163,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00164,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00165,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00166,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00167,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00168,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00169,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00170,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00171,attention_fail,attention_fail,1,No,
R00172,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00173,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00174,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00175,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00176,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00177,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00178,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00179,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00180,multi_issue,speeder; logical_inconsistency,2,No,
R00181,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00182,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00183,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00184,multi_issue,logical_inconsistency; attention_fail,2,No,
R00185,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00186,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00187,speeder,speeder,1,No,
R00188,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00189,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00190,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00191,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00192,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00193,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00194,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00195,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00196,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00197,straightliner,straightliner,1,No,
R00198,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00199,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00200,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00201,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00202,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00203,speeder,speeder,1,No,
R00204,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00205,inconsistent,logical_inconsistency,1,No,
R00206,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00207,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00208,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00209,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00210,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00211,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00212,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00213,attention_fail,attention_fail,1,No,
R00214,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00215,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00216,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00217,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00218,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00219,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00220,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00221,speeder,speeder,1,No,
R00222,attention_fail,attention_fail,1,No,
R00223,attention_fail,attention_fail,1,No,
R00224,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00225,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00226,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00227,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00228,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00229,attention_fail,attention_fail,1,No,
R00230,inconsistent,logical_inconsistency,1,No,
R00231,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00232,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00233,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00234,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00235,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00236,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00237,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00238,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00239,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00240,speeder,speeder,1,No,
R00241,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00242,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00243,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00244,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00245,low_quality_open,low_quality_open_text,1,No,
R00246,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00247,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00248,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00249,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00250,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00251,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00252,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00253,low_quality_open,low_quality_open_text,1,No,
R00254,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00255,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00256,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00257,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00258,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00259,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00260,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00261,straightliner,straightliner,1,No,
R00262,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00263,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00264,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00265,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00266,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00267,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00268,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00269,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00270,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00271,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00272,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00273,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00274,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00275,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00276,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00277,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00278,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00279,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00280,multi_issue,speeder; attention_fail,2,No,
R00281,low_quality_open,low_quality_open_text,1,No,
R00282,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00283,multi_issue,low_quality_open_text; speeder,2,No,
R00284,speeder,speeder,1,No,
R00285,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00286,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00287,speeder,speeder,1,No,
R00288,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00289,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00290,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00291,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00292,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00293,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00294,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00295,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00296,straightliner,straightliner,1,No,
R00297,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00298,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00299,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00300,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00301,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00302,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00303,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00304,invalid_value,out_of_range_nps,1,No,
R00305,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00306,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00307,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00308,low_quality_open,low_quality_open_text,1,No,
R00309,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00310,speeder,speeder,1,No,
R00311,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00312,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00313,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00314,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00315,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00316,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00317,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00318,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00319,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00320,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00321,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00322,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00323,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00324,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00325,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00326,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00327,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00328,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00329,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00330,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00331,low_quality_open,low_quality_open_text,1,No,
R00332,straightliner,straightliner,1,No,
R00333,attention_fail,attention_fail,1,No,
R00334,speeder,speeder,1,No,
R00335,speeder,speeder,1,No,
R00336,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00337,multi_issue,logical_inconsistency; low_quality_open_text,2,No,
R00338,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00339,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00340,duplicate,duplicate_like_submission,1,No,Copied substantive answers from R00034 and reused IP/fingerprint.
R00341,speeder,speeder,1,No,
R00342,low_quality_open,low_quality_open_text,1,No,
R00343,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00344,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00345,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00346,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00347,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00348,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00349,attention_fail,attention_fail,1,No,
R00350,straightliner,straightliner,1,No,
R00351,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00352,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00353,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00354,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00355,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00356,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00357,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
R00358,good,,0,Yes,No injected defect; may still contain naturally suspicious-looking patterns.
